"AFFGEOID","long","lat","cluster","pvalue","realm","er_fraction","X1","X2","Civilians_Employed_Over_16_delta","Gini_Index_delta","Median_Income_Households_delta","Number_Employed_NAICS11_Industry_delta","Number_Employed_NAICS71_Industry_delta","Number_Households_delta","pct_bachelors_degree_higher_delta","pct_highschool_graduate_equivalency_delta","pct_highschool_graduate_or_higher_delta","pct_less_than_highschool_graduate_delta","pct_some_college_associates_degree_delta","Percent_Population_Poverty_Status_Determined_delta","Population_18to24years_delta","Population_25years_older_delta","Population_Poverty_Status_Determined_delta","Total_Population_delta","RetireTotal","RetirementIncome","NoRetirementIncome"
"0600000US4101993179",-123.589548775975,43.0365593488163,3,0.92067729347657,"Cool Temperate Moist Forest on Mountains",0.873106783759705,0.0952770767043791,0.0846391098548576,653,0.0855,8633,102,272,488,4,6.3,3,-6.8,3.6,-7.9,24,666,705,687,4002,1157,2845
"0600000US4102190102",-120.204943659155,45.610441349513,4,0.766510245115639,"Cool Temperate Moist Forest on Mountains",0.515764918353525,0.222229937652019,-0.451402009313505,34,0.0444,1704,-5,17,-2,-1.5,1.3,0.799999999999997,68.5,-60.4,-2.9,1,6,33,117,354,44,310
"0600000US4102190612",-120.213671991559,45.2498688709881,4,0.971742498912492,"Cool Temperate Moist Forest on Mountains",0.216198366954851,0.213502462848988,-0.443760565910673,-155,-0.0261,2940,-70,33,-50,3.2,-9.8,0,51.9,-20.7,-1.9,-1,-44,-54,30,488,110,378
"0600000US4102391462",-119.267226164909,44.4511643997506,7,0.717481999006657,"Cool Temperate Moist Forest on Mountains",0.378761625234273,0.0425269091058107,-0.236230306634965,35,0.0344,6994,27,-86,66,-1.5,-15.9,0.200000000000003,-5.2,13.5,1.6,-100,221,81,141,2328,671,1657
"0600000US4102391683",-119.264104064101,44.7961546410784,5,0.940352650837371,"Cool Temperate Moist Forest on Mountains",0.205395130899888,-0.367917132442559,0.293982903721705,-27,0.00240000000000001,11575,45,0,-4,9.9,-10.6,-3.8,-2.3,12.8,5.7,-20,-96,-179,-192,387,129,258
"0600000US4102392584",-118.601819717747,44.5309517506175,2,0.652070994776404,"Cool Temperate Moist Forest on Mountains",0.95653209479576,-0.722657021443516,0.277902929983663,-51,-0.04,19286,-42,4,-68,3.9,25.3,2,-19,5.9,2.9,38,-110,-153,-130,522,182,340
"0600000US4102392856",-119.252915700777,44.1184156052977,5,0.665257742520842,"Cool Temperate Moist Forest on Mountains",0.481657550330765,-0.334079444162778,0.322500081085812,-10,-0.1446,9650,-54,9,11,15.6,0,-0.400000000000006,0,-16,4.8,22,1,53,21,144,53,91
"0600000US4102590391",-119.399936363692,43.7429968509378,6,0.473399907975066,"Cool Temperate Moist Forest on Mountains",0.538185443668993,-0.232484201994133,-0.36421156550105,-64,0.0114,-530,-86,-73,162,2.8,0.899999999999999,3.2,-14.7,13.5,-7.6,-103,288,145,-25,2464,631,1833
"0600000US4102590901",-119.000878142033,42.7675173058758,5,0.778984122186111,"Cool Temperate Moist Forest on Mountains",0.574666066336485,-0.35090562406045,0.316796700241019,-183,0.065,10500,-146,-15,-90,5.8,9,7.3,-26.2,28.6,-9.6,-5,-182,-399,-354,248,45,203
"0600000US4102590918",-118.593008876669,43.6246940797287,5,0.786478843903178,"Cool Temperate Moist Forest on Mountains",0.266060795988718,-0.408276479199985,0.326581840219626,4,0.0086,13200,-129,18,-14,1,-9.5,-4.2,-4.2,31,-10,-53,110,166,282,532,95,437
"0600000US4102790476",-121.804788090422,45.6319761580423,5,0.795188319418415,"Cool Temperate Moist Forest on Mountains",0.669117647058823,-0.288545195461057,0.357663795743391,76,0.0799,10853,-5,35,130,-1.5,4.8,4.8,4.4,-1.8,-8.2,28,174,318,324,546,122,424
"0600000US4102790850",-121.726033271774,45.5281956337228,5,0.791868817409338,"Cool Temperate Moist Forest on Mountains",0.39338302126886,-0.384188749746234,0.357349512146222,-104,-0.017,11890,-79,11,3,14,-1.09999999999999,20.4,20.9,-19.8,-16.2,-213,25,-206,-27,316,43,273
"0600000US4102791343",-121.579905490261,45.6784770590686,10,0.494108626314109,"Cool Temperate Moist Forest on Mountains",0.86366644606221,-0.0108243631014525,0.373637969569327,437,-0.00839999999999996,13174,74,29,319,5.4,-6.9,-2.59999999999999,10.4,8.5,-2.7,95,481,304,432,5435,1060,4375
"0600000US4102792380",-121.511766207161,45.608005340618,5,0.778913276736644,"Cool Temperate Moist Forest on Mountains",0.662265318753868,-0.231533326194362,0.199715703307321,25,0.1197,9884,-203,12,46,5.6,-0.200000000000003,-1.19999999999999,-16.6,20.1,-9.9,162,-61,-13,153,1736,343,1393
"0600000US4102792431",-121.588444116535,45.3918455556966,6,0.737657386250772,"Cool Temperate Moist Forest on Mountains",0.807567680568621,0.348365238754126,-0.130503593723879,160,0.0532,-9989,167,6,75,5.4,16.6,-8.3,41.8,-58.4,16.2,194,260,540,621,567,130,437
"0600000US4102990119",-122.720926385052,42.2117584291162,8,0.878153770671996,"Cool Temperate Moist Forest on Mountains",0.315973474653866,0.45692478776318,0.0810945301722045,473,0.0322,12018,114,923,576,5.8,3.9,0.0999999999999943,-2.3,-1.8,-0.399999999999999,-230,1409,827,612,14499,3606,10893
"0600000US4102990408",-122.479053381061,42.6674534357506,4,0.423646506700884,"Cool Temperate Moist Forest on Mountains",0.548597678916828,0.158871025720237,-0.406000559047285,-306,0.1127,1043,-77,-70,49,1.1,-14.2,0.5,17.5,-3.2,4.5,-91,110,-89,-178,1107,347,760
"0600000US4102990952",-122.798914607735,42.4788905332602,10,0.549900763372115,"Cool Temperate Dry Shrubland on Mountains",0.648827925683585,-0.173900491108534,0.348028970532994,685,0.0527,12978,336,99,873,6.5,-2.9,2.3,-15.4,12.1,-2.6,-261,1537,1558,1869,4434,931,3503
"0600000US4102991836",-122.88533684252,42.3546683085381,9,0.985811009282816,"Cool Temperate Dry Shrubland on Mountains",0.601121130879844,0.927704647851741,-0.191393952909558,8188,0.0192,8578,394,1287,3706,2.1,0,0.600000000000009,0.699999999999999,-1.5,-0.800000000000001,-80,10214,11359,15018,54745,11047,43698
"0600000US4102992278",-123.111621634012,42.609265523029,5,0.627254905285596,"Cool Temperate Dry Shrubland on Mountains",0.325445787205273,-0.215185624673216,0.206620823980761,-21,0.0324,11023,-24,52,-62,7.5,-16.9,5.7,-17.5,29.2,-1.3,132,31,-101,-260,3227,1112,2115
"0600000US4102992771",-122.980972003931,42.5110972275461,7,0.595750188095613,"Cool Temperate Dry Shrubland on Mountains",0.436082642613991,0.0562717031963827,-0.233863017283476,-81,0.0619,6276,-46,-15,35,6.2,20.4,-2.5,-28.2,32.5,-0.700000000000001,-19,239,265,-273,1878,488,1390
"0600000US4102992873",-122.80206996524,42.6840748233317,10,0.920586176958824,"Cool Temperate Dry Shrubland on Mountains",0.753781747139269,-0.235220720181182,0.407799169041159,232,0.0531,14611,90,-247,281,4.5,-14,1.7,8.5,10.2,-4.4,238,528,831,663,3174,739,2435
"0600000US4102993026",-122.495336270131,42.2263903827942,2,0.967747815510041,"Cool Temperate Dry Shrubland on Mountains",0.773451126967946,-0.854374321124274,0.227601678833906,-18,-0.0181,22232,8,-5,-109,4.5,6.1,1.40000000000001,-0.5,-40.6,-5.8,-21,-242,-341,-309,781,266,515
